EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5542747,LOS ANGELES CO.,CALABASAS,03/14/1996,1600,Lightning, , ,0,1,0,0,CA,PST, ,2029375,C,37,LOX,0,0, , , , , , , , ,CALABASAS,03/14/1996,1600, , , , ,"","Lightning struck a man in Calabasas when he was leaving work forthe afternoon.",1
5557948,SAN BERNARDINO CO.,TWENTY NINE PALMS,07/27/1996,1600,Lightning, , ,0,0,5000,0,CA,PST, ,2042741,C,71,VEF,0,0, , , , , , , , ,TWENTY NINE PALMS,07/27/1996,1600, , , , ,"","Lightning damaged a water fountain and underground power cables leading to it.",2
5568258,RIVERSIDE CO.,MORENO VALLEY,08/23/1996,1400,Lightning, , ,0,2,0,0,CA,PST, ,2043641,C,65,LOX,0,0, , , , , , , , ,MORENO VALLEY,08/23/1996,1400, , , , ,"","Two people were slightly injured when lightning struck their umbrella.",3
5578419,TULARE CO.,TULARE,11/22/1996,1050,Lightning, , ,0,0,15000,0,CA,PST, ,2055405,C,107,HNX,0,0, , , , ,9,SE,9,SE,TULARE,11/22/1996,1050, , , , ,"","A Tulare County thunderstorm produced a lightning strike on a barn that stampeded cattle.  Fleeing from the thunder the cattle crossed into a roadway and subsequently were struck by a truck tractor with 17 of the cattle killed.",4
5596656,KERN CO.,BAKERSFIELD,03/22/1997,1630,Lightning, , ,0,0,50000,0,CA,PST, ,2060552,C,29,HNX,0,0, , , , ,2,SE,2,SE,BAKERSFIELD,03/22/1997,1630, , , , ,"","Lightning struck the Kern County Ag Commissioner's Office causing extensive damage to sprinkler, power conveyance, and internal office computer equipment.",5
5596657,KERN CO.,WASCO,03/22/1997,1651,Lightning, , ,0,0,0,0,CA,PST, ,2060553,C,29,HNX,0,0, , , , , , , , ,WASCO,03/22/1997,1651, , , , ,"","During afternoon thunderstorm activity across the South San Joaquin Valley lightning struck quite often...including a house in Wasco.  Minimal damage reported by the Sheriff's office.",6
5592701,SAN DIEGO CO.,SAN DIEGO,04/02/1997,1230,Lightning, , ,0,0,0,0,CA,PST, ,2061488,C,73,SGX,0,0, , , , , , , , ,SAN DIEGO,04/02/1997,1230, , , , ,"A cold upper-level low pressure center spawned an area of thunderstorms that affected much of southern San Diego County with gusty winds, small hail, and power outages.  Lightning associated with the storm system struck a palm tree in the skyline district of San Diego, shearing off the top twenty feet.  The resulting shock wave shattered all the windows of the home on the property, sent dishes and glasses cascading from cupboards, and knocked pictures off the walls. Windows were broken in Fifteen nearby homes, an elementary school, and a high school two blocks away.  Also, a nearby utility pole caught fire, and the top of a wood and concrete fence was destroyed.","",7
5600704,LOS ANGELES CO.,LAKE HUGHES,05/12/1997,1845,Lightning, , ,0,0,0,0,CA,PST, ,2062670,C,37,LOX,0,0, , , , , , , , ,LAKE HUGHES,05/12/1997,1845, , , , ,"","Lightning struck an electrical pole in the Lake Hughes area. Nearly 1000 people lost power for about two hours.",8
5608766,FRESNO CO.,FRESNO,05/19/1997,1430,Lightning,30, ,0,0,1500000,300000,CA,PST, ,2065585,C,19,HNX,0,0, , , , ,15,NNE,15,NNE,FRESNO,05/19/1997,1900, , , , ,"","Lightning spawned and wind driven fire destroyed 600 acres of grassland and 3 upscale homes north-northeast of Fresno.  Wind from the thunderstorm provided the driving force pushing the fire through fire-breaks and into expensive homes and through dry pastures.",9
5611640,LASSEN CO.,EAGLE LAKE RESORT,07/26/1997,1546,Lightning, , ,0,2,0,0,CA,PST, ,2066511,C,35,REV,0,0, , , , ,0,W,0,W,EAGLE LAKE RESORT,07/26/1997,1547, , , , ,"Two people were struck by lightning while docking their boat at Eagle Lake.  One individual was hospitalized.","",10
5624144,SAN JOAQUIN CO.,LODI,08/19/1997,1130,Lightning, , ,0,3,0,0,CA,PST, ,2071746,C,77,STO,0,0, , , , , , , , ,LODI,08/19/1997,1145, , , , ,"","Lightning struck a metal vine support in a vineyard near Lodi, injuring three workers.",11
5617521,KERN CO.,TEHACHAPI,09/02/1997,645,Lightning, , ,0,0,5000,0,CA,PST, ,2069872,C,29,HNX,0,0, , , , ,2,SE,2,SE,TEHACHAPI,09/02/1997,645, , , , ,"Lightning strike from early morning thunderstorm activity.","Monsoonal moisture over the Southwest United States supported thunderstorm development over the desert and mountains of Kern County.  Numerous instances of inclement weather were reported with this activity ... and in some cases the severity was estimated.  No injuries were reported in these events.",12
5627634,FRESNO CO.,SELMA,01/29/1998,1300,Lightning, , ,0,0,0,0,CA,PST, ,2072575,C,19,HNX,0,0, , , , , , , , ,SELMA,01/29/1998,1300, , , , ,"Numerous power outages in the Selma area affected 3400 customers.  A lightning strike took out a power pole at 1300 PST.","A line of strong thunderstorms swept through Central California during the early afternoon hours of Thursday, Jan 29.  Small hail occurred with this line to such an extent that 2-3 inches accumulated on the ground.  In fact, some confusion occurred about hail size being one inch when the reference was to the depth of hail on the ground.  Hail sizes during the day varied from 1/8- to 1/2-inch in diameter.  Reflectivity values depicted by WSR-88D reached 64 dBz.  VIL values ranged from 23 for 1/4-inch hail to 28 for 1/2-inch hail on this day.  The southern end of the thunderstorm line was Kings County and eastward.  The initial thunderstorm line moved into the S.Sierra Foothills around 1400 PST.",13
5632995,HUMBOLDT CO.,LOLETA,02/03/1998,900,Lightning, , ,0,0,0,0,CA,PST, ,2074411,C,23,EKA,0,0, , , , ,1,N,1,N,LOLETA,02/03/1998,900, , , , ,"Three cows struck and killed by lightning.","",14
5631309,ORANGE CO.,IRVINE,02/06/1998,1300,Lightning, , ,0,0,10000,0,CA,PST, ,2073010,C,59,SGX,0,0, , , , , , , , ,IRVINE,02/06/1998,1300, , , , ,"","An exceptionally strong westerly jet-stream aloft, and a deep upper-level trough of low pressure off the coast, steered a barrage of weather systems through southern California  for several days.  The action started off with high winds and then heavy rain on the sixth.  Rainfall up to three inches caused widespread flooding, stranding motorists, and resulting in sporadic road closures.  The most serious flooding occurred in Newport Beach and Irvine during the early afternoon.  Several Newport  schools had flooded classrooms and were evacuated.  In Irvine, water and mud rushing through Bommer Canyon flooded 25 townhomes and a city park.  Lightning also struck a home in Irvine, blowing out windows, damaging the roof, and causing a gas line rupture.  In Dana Point, a tree-covered hillside slid into a hotel parking structure, submerging at least six cars in rock and sand.  Local State of Emergencies were declared in San Clemente, Laguna Beach, Dana Point, and Irvine.  Elsewhere throughout the valley areas of southwest California, several mud slides closed roads and blocked drainage channels, exacerbating the already high water levels.  Numerous swift-water and standing-water rescues were made as water quickly surrounded homes and cars. Gusty winds easily pushed over trees whose shallow root systems were anchored in water-logged soil, damaging homes and automobiles, and causing sporadic power outages.  Sink holes began to open up, undermining some roadways.  Over two inches of rain along the San Diego River late on the seventh and early on the eighth, sent the river out of it's banks.  It crested at 12.5 feet at Fashion Valley during the morning of the eighth, which is 1.2 feet above flood stage. Another round of heavy showers during the predawn hours on the ninth, spawned a small tornado that flipped a 6x12 foot wood and metal shack in Cardiff, and blew down trees in Rancho Santa Fe.",15
5637603,MARIPOSA CO.,USONA,02/07/1998,2030,Lightning, , ,0,0,50000,0,CA,PST, ,2074984,C,43,HNX,0,0, , , , ,2,NNE,2,NNE,USONA,02/07/1998,2030, , , , ,"A lightning strike with thunderstorms caused electrical damage to homes due to a power surge through 8 area homes.  Heavy rain and small hail also accompanied the lightning activity.","",16
5639271,FRESNO CO.,(FAT) AIR TERMINAL,02/14/1998,1700,Lightning, , ,0,0,5000,0,CA,PST, ,2074948,C,19,HNX,0,0, , , , ,3,NW,3,NW,(FAT) AIR TERMINAL,02/14/1998,1700, , , , ,"Lightning strike on a traffic signal at Cedar/Shaw in North Fresno.","Between 1700 PST and 1900 PST thunderstorms accompanied by gusty wind downed trees and powerlines taking out power to 3500 utility customers in Fresno, Clovis, Selma, and Auberry in Fresno County.  Wind speed estimated.",17
5637611,MERCED CO.,MERCED,03/24/1998,1400,Lightning, , ,0,0,0,0,CA,PST, ,2074987,C,47,HNX,0,0, , , , ,2,N,2,N,MERCED,03/24/1998,1400, , , , ,"Power outage to 700 customers of PG&E.","Locally heavy rain from a band of thunderstorms that became quasi-stationary in the previous 12-18 hours brought flooding again to the Merced City and some outlying Merced County areas.  Thunderstorms developed mid-day Tuesday the 24th and locally heavy rain continued for much of that afternoon and early evening hours.  Rainfall totals for 24 hours ending by the morning of the 25th showed unofficial reports from 3.5" to 5.9" in the Merced City area.  One gauge in the north part of town showed 6.8" in the 48-hour period from the evening of the 23rd to the evening of the 25th.  The official gauge at the airport for the 24th as a calendar day was 3.25"!  Although skies cleared during the night of the 24th/morning of the 25th, runoff water did not reach creeks until the early morning hours of the 25th with a subsequent crest on Bear Creek after dawn on the 25th.  Over 1000 people were evacuated from Merced City and nearby County areas.  Bear Creek crested at 19.3 feet / 7653 CFS at 0900 PST 3/25/98...Black Rascal Creek was contributed 4449CFS(148% capacity) early on 3/25 to Bear Creek's total.  Damage figures for the 24th/25th assessed at $9.6M due to flooding with agricultural amounts of $1.5M being tentative (likely to go higher with time).  This event in Merced County was the 2nd one-in-100 event in two months.  Dry Creek, a tributary of the Merced River near Snelling, reached 5358CFS at a height of 15.4' at 1800PST on 3/24/98 as a result of the heavy rains in the area and indicative of the type of stream flows from the foothills of the S.Sierra Nevada onto the valley floor.",18
5637614,FRESNO CO.,(FAT) AIR TERMINAL,03/28/1998,1905,Lightning, , ,0,0,1000,0,CA,PST, ,2074989,C,19,HNX,0,0, , , , ,3,SE,3,SE,(FAT) AIR TERMINAL,03/28/1998,1905, , , , ,"A lightning strike on a 120-foot tree exploded the tree and rained debris down onto a family exiting the house below.  No injuries although 5 members of the family were stunned by lightning.","Numerous thunderstorms developed during the afternoon hours throughout much of Central California and reached severe limits in Merced and Madera Counties.  The tornado at the Chowchilla Airport occurred with a severe thunderstorm warning of at least 10 minutes.  Additional hail of 1/2" diameter, not reaching severe thresholds, also fell in Southwest Fresno County just west of Lemoore Naval Air Station.",19
5637615,FRESNO CO.,PARLIER,03/28/1998,1915,Lightning, , ,0,0,0,0,CA,PST, ,2074989,C,19,HNX,0,0, , , , , , , , ,PARLIER,03/28/1998,1915, , , , ,"Reported by spotter during storm chase.","Numerous thunderstorms developed during the afternoon hours throughout much of Central California and reached severe limits in Merced and Madera Counties.  The tornado at the Chowchilla Airport occurred with a severe thunderstorm warning of at least 10 minutes.  Additional hail of 1/2" diameter, not reaching severe thresholds, also fell in Southwest Fresno County just west of Lemoore Naval Air Station.",20
5637743,KERN CO.,OLD RIVER,05/05/1998,20,Lightning, , ,0,0,0,0,CA,PST, ,2075350,C,29,HNX,0,0, , , , , , , , ,OLD RIVER,05/05/1998,20, , , , ,"Lightning strike from the continued thunderstorm activity resulting from a closed low just off the  Central Calfiornia Coast.  Thunderstorms occurred on the 4th and 5th in the Kern County area.","",21
5637741,KERN CO.,BAKERSFIELD,05/05/1998,1430,Lightning, , ,0,1,0,0,CA,PST, ,2075349,C,29,HNX,0,0, , , , , , , , ,BAKERSFIELD,05/05/1998,1430, , , , ,"While on the phone an office manager was mildly electrocuted due to a nearby lightning strike and the resulting electrical surge through the phone line.","An active thunderstorm band moved from southwest to northeast through west Kern County with 1/2-inch hail reported at Buena Vista Lake at 1403 PDT...torrential rain in southwest Bakersfield by 1515 PDT leading to widespread urban flooding...and flooding again in northeast Bakersfield by 1525 PDT.  Pea-size hail piled 2-3 inches deep in SW Bakersfield by 1515PDT. Radar estimates placed numerous rainfall rate areas of 1.25-1.75" per hour southwest and west of Bakersfield.  Downtown Bakersfield had several streets flooded including Chester Avenue just south of Highway 178...and the rail undercrossing on 'H' Street where one car was trapped.  Two severe thunderstorm warnings (SVR) and one flash flood warning (FFW) were issued by NWSO HNX in response to this convective activity.  While no severe threshold criteria were evidently met...torrential rain for the area was experienced and quotes such as "never seen it rain this hard" were common.  The flooding was not classified as "flash flood" due to lack of movement in the deeply ponded water in the urban areas of Bakersfield.  Radar estimates of precipitation for the period of 5/2/98 through 5/5/98 showed that primarily the west and south side of the HNX CWFA were affected by the convective activity...many areas had in excess of 1.5-2.5" of accumulated rainfall. The west edge of the Kings-Fresno County Line had radar estimates of 4-5" over the period.  By the morning of the 5th...Porterville in Tulare County received another 0.22" of rain bringing the season total to 20.51"...second only to the 1968-69 record of 21.22".",22
5636143,FRESNO CO.,PARLIER,06/06/1998,1645,Lightning, , ,0,0,50000,0,CA,PST, ,2075359,C,19,HNX,0,0, , , , , , , , ,PARLIER,06/06/1998,1645, , , , ,"Lightning struck a house causing damage...but no injuries.  The thunderstorm activity...between gusty wind and torrential rain... led to the disruption of power to over 25,000 residents in Central Fresno County.","Fresno and neighboring counties of Kings and Tulare received widespread convective activity during the late afternoon and early evening of Saturday, June 6th.  Unofficial reports of golfball sized hail occurred in the Tulare County town of Dinuba.  The damage in Fresno County occurred in the west toward Kerman and areas around Orange Cove and Reedley southeast of Fresno City. Moderate to heavy hail damaged trees, vines, and tomatoes by stripping off fruit and foilage.  Vegetable plants were damaged by heavy rains and mud...and some cotton by hail and heavy rain. Fungal and viral diseases were increased.  The total extent of damage to citrus will not be known until the harvest.",23
5636146,MERCED CO.,MERCED,06/06/1998,1905,Lightning, , ,0,0,0,0,CA,PST, ,2075359,C,47,HNX,0,0, , , , , , , , ,MERCED,06/06/1998,1905, , , , ,"Lightning strike on a tree in south Merced reported by a spotter.","Fresno and neighboring counties of Kings and Tulare received widespread convective activity during the late afternoon and early evening of Saturday, June 6th.  Unofficial reports of golfball sized hail occurred in the Tulare County town of Dinuba.  The damage in Fresno County occurred in the west toward Kerman and areas around Orange Cove and Reedley southeast of Fresno City. Moderate to heavy hail damaged trees, vines, and tomatoes by stripping off fruit and foilage.  Vegetable plants were damaged by heavy rains and mud...and some cotton by hail and heavy rain. Fungal and viral diseases were increased.  The total extent of damage to citrus will not be known until the harvest.",24
5653977,LOS ANGELES CO.,WEST COVINA,07/20/1998,700,Lightning, , ,0,1,0,0,CA,PST, ,2079174,C,37,LOX,0,0,NEWSPAPER, , , , , , , ,WEST COVINA,07/20/1998,700, , , , ,"Lightning struck a 40 year-old woman at her home in West Covina. The lightning struck a antenna on the roof of her home, travelled down a wire attached to a plumbing vent, and then to the kitchen sink where she was standing. The woman sustained minor injuries.","",25
5664006,SAN BERNARDINO CO.,LUCERNE VLY,08/11/1998,1330,Lightning, , ,0,0,0,0,CA,PST, ,2148998,C,71,SGX,0,0,UNKNOWN, , , , , , , ,LUCERNE VLY,08/11/1998,1330, , , , ,"","A moist, unstable, easterly flow, supported afternoon thunderstorms in the mountains and high deserts of San Bernardino County.  The storms produced small hail, local street flooding, and locally strong winds.  Flooded streets were reported in Forest Falls.  In the high desert areas near Hesperia, the lightning ignited brush fires that were fanned by gusty outflow winds.  Farther west in El Mirage, a severe thunderstorm produced wind gusts to 77 mph. In Lucerne Valley, lightning struck a barn and killed two farm animals.",26
5668396,KERN CO.,BAKERSFIELD,09/02/1998,1409,Lightning, , ,0,0,0,0,CA,PST, ,2149593,C,29,HNX,0,0,EMERGENCY MANAGER, , , ,10,ENE,10,ENE,BAKERSFIELD,09/02/1998,1800, , , , ,"","A thunderstorm from the northeast moved over the far southeastern portion of the San Joaquin Valley during the mid-afternoon hours.  Lightning strikes accounted for 4 grass fires during the event.  The largest fire consumed 1,500 acres of grass east of Bakersfield along Breckenridge Road.  A microburst brought low visibilities in blowing dust around Bakersfield including Interstate-58 east of the city that lead to several traffic accidents and downed power lines leaving 11,000 customers without power.  Visibility dropped to 30 feet on Highway 58 on the east side of Bakersfield.  Estimated wind speeds were as high as 45 Knots.  Of interest are indications that two microbursts may have occurred based on wind direction shifts received from the Lamont ALERT (automated) weather station.  (One at 1412 PST and another at 1427 PST).",27
5696372,LOS ANGELES CO.,PALMDALE,05/23/1999,530,Lightning, , ,1,0,0,0,CA,PST, ,2405019,C,37,LOX,0,0,NEWSPAPER, , , , , , , ,PALMDALE,05/23/1999,530, , , , ,"Lightning struck and killed a man in Palmdale.","",28
